"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767960890789244E9,"2026-01-09 20:14:50.789 UTC+08:00"
"PAUSE",2.021478139583342E2,1.767961092934063E9,"2026-01-09 20:18:12.934 UTC+08:00"
